   iLoop   Phase     EVM               SVM                    B5                B4                B2                D6                D1                D4                C1                C5                C3                A6                C2                C3              
      87       1     1.19999997E+001   7.16493336E+003   3.06371708E-002   2.83501855E+003   2.83498791E+003  -4.57234759E-002  -1.72510483E+002  -1.72464760E+002   2.83500700E+003  -2.66419985E-002   2.83503364E+003   1.15556933E-002  -1.72491402E+002  -1.72479846E+002
      88       1     1.19999997E+001   7.16459486E+003   2.98020178E-002   2.83483447E+003   2.83480467E+003  -4.42664544E-002  -1.72593471E+002  -1.72549205E+002   2.83482345E+003  -2.54820475E-002   2.83484893E+003   1.10176109E-002  -1.72574687E+002  -1.72563669E+002
      89       1     1.19999997E+001   7.16424865E+003   2.76116018E-002   2.83464558E+003   2.83461797E+003  -4.12420830E-002  -1.72677625E+002  -1.72636383E+002   2.83463641E+003  -2.27960424E-002   2.83465921E+003   9.16556122E-003  -1.72659179E+002  -1.72650014E+002
      90       1     1.19999997E+001   7.16390881E+003   2.68523783E-002   2.83446054E+003   2.83443368E+003  -4.05304948E-002  -1.72761249E+002  -1.72720719E+002   2.83445222E+003  -2.19916387E-002   2.83447422E+003   8.31352219E-003  -1.72742710E+002  -1.72734397E+002
      91       1     1.19999997E+001   7.16356266E+003   2.78541432E-002   2.83427265E+003   2.83424480E+003  -4.15051919E-002  -1.72847607E+002  -1.72806102E+002   2.83426467E+003  -2.16320563E-002   2.83428630E+003   7.98100765E-003  -1.72827734E+002  -1.72819753E+002
      92       1     1.19999997E+001   7.16321204E+003   2.60302798E-002   2.83408154E+003   2.83405551E+003  -3.83638903E-002  -1.72933036E+002  -1.72894672E+002   2.83407552E+003  -1.83525623E-002   2.83409387E+003   6.01895175E-003  -1.72913025E+002  -1.72907006E+002
      93       1     1.19999997E+001   7.16285768E+003   2.54878561E-002   2.83388877E+003   2.83386328E+003  -3.84895198E-002  -1.73020300E+002  -1.72981810E+002   2.83388252E+003  -1.92493443E-002   2.83390177E+003   6.24768060E-003  -1.73001059E+002  -1.72994812E+002
      94       1     1.19999997E+001   7.16250953E+003   2.47034022E-002   2.83369920E+003   2.83367450E+003  -3.77245111E-002  -1.73105955E+002  -1.73068231E+002   2.83369379E+003  -1.84295177E-002   2.83371222E+003   5.40840878E-003  -1.73086660E+002  -1.73081252E+002
      95       1     1.19999997E+001   7.16215938E+003   2.39522828E-002   2.83350856E+003   2.83348461E+003  -3.69930559E-002  -1.73192121E+002  -1.73155128E+002   2.83350396E+003  -1.76451389E-002   2.83352160E+003   4.60436582E-003  -1.73172773E+002  -1.73168169E+002
      96       1     1.19999997E+001   7.16180575E+003   2.36641650E-002   2.83331621E+003   2.83329254E+003  -3.66774343E-002  -1.73279437E+002  -1.73242760E+002   2.83331222E+003  -1.69970774E-002   2.83332922E+003   3.98380813E-003  -1.73259757E+002  -1.73255773E+002
      97       1     1.19999997E+001   7.16145128E+003   2.29219075E-002   2.83312318E+003   2.83310026E+003  -3.60241255E-002  -1.73366714E+002  -1.73330690E+002   2.83312007E+003  -1.62144313E-002   2.83313628E+003   3.11221333E-003  -1.73346904E+002  -1.73343792E+002
      98       1     1.19999997E+001   7.16109328E+003   2.25837466E-002   2.83292841E+003   2.83290582E+003  -3.56640673E-002  -1.73455097E+002  -1.73419433E+002   2.83292599E+003  -1.54994107E-002   2.83294149E+003   2.41909004E-003  -1.73434933E+002  -1.73432514E+002
      99       1     1.19999997E+001   7.16073413E+003   2.15454855E-002   2.83273264E+003   2.83271110E+003  -3.48705698E-002  -1.73543425E+002  -1.73508554E+002   2.83273139E+003  -1.45830339E-002   2.83274597E+003   1.25794961E-003  -1.73523137E+002  -1.73521879E+002
     100       1     1.19999997E+001   7.16027907E+003   2.01802460E-002   2.83248491E+003   2.83246473E+003  -3.16194604E-002  -1.73654982E+002  -1.73623363E+002   2.83248603E+003  -1.03186969E-002   2.83249635E+003  -1.12051759E-003  -1.73633682E+002  -1.73634802E+002
