   iLoop   Phase               EVM               SVM              EpVM             EelVM              ----               E11               E22               E33               E12               E13               E23              Ep11              Ep22              Ep33              Ep12              Ep13              Ep23
      73       1     1.19658062E+001   1.00002269E+000   3.95643581E-002   1.19999997E+001   0.00000000E+000   1.57405398E-020  -4.07541458E-020  -1.19999997E+001   1.89573892E-021   0.00000000E+000  -3.76459088E-020   1.05268165E-002   1.22798681E-002  -2.28066846E-002   1.14033326E-002   6.60316455E-004   6.56140426E-004
      74       1     1.19652746E+001   1.00002269E+000   4.01797835E-002   1.19999997E+001   0.00000000E+000   1.41660065E-021  -1.93621656E-020  -1.19999997E+001   3.91887586E-022  -1.12937726E-019  -3.76459088E-020   1.06911834E-002   1.24702421E-002  -2.31614256E-002   1.15807029E-002   6.71785754E-004   6.66611559E-004
      75       1     1.19647393E+001   1.00002269E+000   4.07994857E-002   1.19999997E+001   0.00000000E+000  -2.86952060E-020   2.65611007E-020  -1.19999997E+001   4.77790149E-021   7.52918175E-020   3.76459088E-020   1.08567235E-002   1.26619166E-002  -2.35186401E-002   1.17593100E-002   6.83288932E-004   6.76940200E-004
      76       1     1.19642002E+001   1.00002269E+000   4.14236761E-002   1.19999997E+001   0.00000000E+000  -2.90085671E-020  -4.31535710E-020  -1.19999997E+001   7.63714965E-021  -3.76459088E-020  -7.52918175E-020   1.10234259E-002   1.28550065E-002  -2.38784324E-002   1.19392060E-002   6.94829501E-004   6.87675208E-004
      77       1     1.19636523E+001   1.00002269E+000   4.20580121E-002   1.19999997E+001   0.00000000E+000   3.34554886E-020  -7.10621386E-021  -1.19999997E+001  -2.35312510E-020   0.00000000E+000  -3.76459088E-020   1.11927933E-002   1.30512569E-002  -2.42440502E-002   1.21220147E-002   7.06879260E-004   6.98993319E-004
      78       1     1.19631012E+001   1.00002269E+000   4.26961874E-002   1.19999997E+001   0.00000000E+000  -2.40326844E-020  -3.66102725E-020  -1.19999997E+001  -1.56251869E-020  -7.52918175E-020   3.76459088E-020   1.13625703E-002   1.32492999E-002  -2.46118702E-002   1.23059246E-002   7.18433793E-004   7.10512970E-004
      79       1     1.19625475E+001   1.00002269E+000   4.33372529E-002   1.19999997E+001   0.00000000E+000   3.98450101E-020   1.49185919E-020  -1.19999997E+001  -7.11158120E-021   0.00000000E+000   0.00000000E+000   1.15335299E-002   1.34478607E-002  -2.49813906E-002   1.24906846E-002   7.30156234E-004   7.21289883E-004
      80       1     1.19619686E+001   1.00002269E+000   4.40075652E-002   1.19999997E+001   0.00000000E+000   5.57625285E-021   1.34817156E-021  -1.19999997E+001  -1.88181031E-020  -3.76459088E-020  -3.76459088E-020   1.17113045E-002   1.36563944E-002  -2.53676989E-002   1.26838388E-002   7.37795291E-004   7.38378513E-004
      81       1     1.19613919E+001   1.00002269E+000   4.46754461E-002   1.19999997E+001   0.00000000E+000  -1.90036219E-020  -1.39873405E-020  -1.19999997E+001  -1.91408750E-020   7.52918175E-020  -1.50583635E-019   1.18863436E-002   1.38662367E-002  -2.57525803E-002   1.28762793E-002   7.49231439E-004   7.49692310E-004
      82       1     1.19608135E+001   1.00002269E+000   4.53452720E-002   1.19999997E+001   0.00000000E+000  -4.19820571E-020  -2.03691431E-020  -1.19999997E+001  -6.88996752E-021  -3.76459088E-020   3.76459088E-020   1.20662408E-002   1.40723812E-002  -2.61386220E-002   1.30692999E-002   7.64386030E-004   7.61702755E-004
